country,labeled_samples,R2_Average_A,R2_log_Scope1_A,R2_log_Scope2_A,R2_log_Scope3_upstream_A,R2_log_Scope3_downLA_A,R2_log_Scope3_prod_A,R2_log_Scope_total_A,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
CHL,232,0.8089619322334505,0.9510956903005444,0.7416333985090204,0.940156399084229,0.6059482915407564,0.6526738407472883,0.9622639732188644,0.6421686876679126,0.9108871279260914,0.5828422453985168,0.8505823417266638,0.2927354821512742,0.3381415926312564,0.8778233361736737
AUT,200,0.8118214656975478,0.8532465074187529,0.8111359506654359,0.9001136836651616,0.5990252525950333,0.8172509761673559,0.8901564236735477,0.6474335389644467,0.8183362833986875,0.6662833202324681,0.7366585741588005,0.5002428655294824,0.4022649413688,0.7608152490984418
GRC,199,0.7698760085133537,0.8228190897094849,0.6180025268283481,0.8719655816081371,0.7200234038253339,0.7018832470302867,0.8845622020785319,0.4806818104303024,0.6920131329111352,0.3280614672524456,0.5285828728308608,0.2449714400287481,0.4301811825835787,0.6602807669750457
KWT,191,0.9044177045841284,0.9101786323581312,0.906698669842431,0.9363196282681332,0.867108363447654,0.8759946146952248,0.9302063188931952,0.6579337875846948,0.7778862335419054,0.6360440206715161,0.7640003542008293,0.4506970820599183,0.5511803962730373,0.7677946387609618
EGY,189,0.7571777421864428,0.8691521216473557,0.7178842112105237,0.8536645815174442,0.4289194123117703,0.80629415129166,0.8671519751399036,0.305593513695557,0.2867167954908504,0.1646594364063857,0.1018961493726405,0.6314742461253409,0.4873606109803743,0.16145384379775
LUX,179,0.7997816550940441,0.9544316123750616,0.7553550933363837,0.9301221016832564,0.587403043185425,0.6320848221772499,0.939293257806888,0.5321732891869344,0.8061810859561667,0.6876351736715173,0.7758091931401834,-0.0413188455692299,0.2001704839762277,0.7645626439467416
QAT,162,0.8012955836417551,0.8715742666596187,0.8169288454575261,0.8945076976822774,0.7979583350258428,0.5567462769584417,0.8700580800668243,0.5662124459124092,0.7973187309657315,0.5313317913596156,0.5258582544841344,0.3846453467332085,0.5336363759313327,0.6244841760004324
CYM,145,0.5425498546940112,0.358728818919293,0.7617694476090434,0.8925239981362757,0.2406503311203814,0.128624077595178,0.8730024547838953,0.2998099475947681,0.42024324885041,0.35592863136009,0.4383600562615707,0.5028856003856608,-0.1288412437592134,0.2102833924700909
VNM,113,0.900988424448628,0.9676015138175776,0.726536300118498,0.9199207642256372,0.8959743629931894,0.9409368911108744,0.9549607144259916,0.6263537532899304,0.7236323986563038,0.8181179659139031,0.8611197951203617,0.503235133505247,0.0774182256704755,0.7745990008732917
NGA,91,0.8068494008791837,0.932442824871557,0.867488512826637,0.8746483543229886,0.6240510785558135,0.5844120477002851,0.9580535869978208,0.3418963208795696,0.412568550344641,-0.3512415410578908,0.3095563752285709,0.8196674899050213,0.3540564854489111,0.5067705654081641
COL,90,0.7817179716100332,0.704894996803402,0.886199907584916,0.9463593526292812,0.775269773151759,0.5072713570924278,0.8703124423984128,0.8107311538148734,0.8802833845296153,0.8114638858978407,0.9149119977672218,0.496749303337558,0.8487480608661649,0.912230290490839
PER,87,0.7104679876921031,0.9013286024132944,0.6134505742298315,0.910309049393532,0.0279292736880857,0.8962085950153079,0.9135818314125662,0.6473741051282055,0.8644810778377032,0.7507219913791844,0.841218774360971,0.7461664549639508,-0.1968447359969725,0.8785010682243963
PRT,80,0.8354686236141883,0.9750150177137848,0.9182231187342584,0.9624081815314082,0.8195653056678625,0.3556483132294088,0.9819518048084068,0.4360652013900131,0.6617832060048795,0.145242336481425,0.3946338443884535,0.3880019749063489,0.547634998587871,0.479094847971101
MAR,66,0.8462702140523088,0.9877696817530768,0.5381056160072994,0.9656743327698022,0.8713115557029267,0.7348353972900156,0.9799247007907318,0.1094416086698971,0.9498245096197646,0.9315180024058488,-2.111290228377034,-0.1545510872196793,0.7099170430412998,0.3312314125491828
KEN,52,-0.4049631012781101,-0.3860391308829285,-0.4800229053882487,-0.4036967142086032,-0.3037573769593431,-0.3147377852559774,-0.5415246949735602,0.6290363598847836,0.8864694084318006,0.6096280586422365,0.5513280535012046,0.8943557376879641,0.1471732520344632,0.6852636490110331
ARG,50,-0.627824088014677,-0.5101799255111539,-1.3198833101812857,-0.9524112781169394,-0.1691659341569105,-0.159372810056207,-0.6559312700655657,-0.1329210349650942,0.9010288680209868,0.5933095233113086,0.5403620737350436,-4.20993127223977,0.5889294072994682,0.7887751900823978
