model,country,experiment_type,R2_Average,MAE_Average,R2_Average_raw,MAE_Average_raw,ensemble_strategy,ensemble_selected_lambda,ensemble_val_mean_r2,pretrain_final_loss,finetune_final_val_r2,source_samples,target_train_samples,target_test_samples,freeze_encoder,pretrain_lr,finetune_lr,finetune_patience,finetune_weight_decay,d_model,n_layers,temperature,n_source,n_train,n_val,n_test,n_total,years_min,years_max,n_years,R2_target_0,R2_target_1,R2_target_2,R2_target_3,R2_target_4,R2_target_5,R2_target_0_raw,R2_target_1_raw,R2_target_2_raw,R2_target_3_raw,R2_target_4_raw,R2_target_5_raw,seed,experiment_code
CT-CCTL-EMIT,COL,Cross_Time_Contrastive_Learning,0.8107311538148734,1.0497659819316472,-7.220845934418416,6.50630950360071,ct_mlp_stack,0.01,0.7209427396314746,,-2.087496280670166,1471944,57,14,False,0.0003,1e-05,60,0.0001,384,4,0.07,1471944,57,19,14,90,2019,2023,5,0.8802833845296153,0.8114638858978407,0.9149119977672218,0.8487480608661649,0.496749303337558,0.912230290490839,-1.1157358466609737,-11.40808132497292,-14.262795219107389,-0.4793865246255622,-0.6713611896298795,-15.387715501513767,42,C_CT
CT-CCTL-EMIT,MAR,Cross_Time_Contrastive_Learning,0.1094416086698971,1.0660919425575854,-14.657562845274724,6.640353811176446,ct_mlp_stack,0.0001,0.4485521485760313,,-3.549312114715576,1471640,40,13,False,0.0003,1e-05,60,0.0001,384,4,0.07,1471640,40,13,13,66,2019,2023,5,0.9498245096197646,0.9315180024058488,-2.111290228377034,0.7099170430412998,-0.1545510872196793,0.3312314125491828,-1.5745031653706794,-12.497114355878766,-42.90753831938003,-1.018573263485734,-7.669354841344315,-22.278293126188828,42,C_CT
CT-CCTL-EMIT,KOR,Cross_Time_Contrastive_Learning,0.7377857522657222,0.9933203818592364,0.6956106415922063,1.0772951007372114,ct_mlp_stack,1.0,0.7308197286436363,,0.8052141666412354,1443460,3146,1120,False,0.0003,1e-05,60,0.0001,384,4,0.07,1443460,3146,1210,1120,5476,2019,2023,5,0.8194556399475834,0.8750979389681863,0.9108458614856584,0.294373397930087,0.6074220812400517,0.919519594022766,0.7884621799463101,0.843965973193152,0.8551690466100712,0.2222963959730782,0.5813380220925911,0.8824322317380352,42,C_CT
CT-CCTL-EMIT,GBR,Cross_Time_Contrastive_Learning,0.6615592997314746,1.4954733877606523,0.5918443844370035,1.6773713238057384,ct_mlp_stack,1.0,0.6961144461033043,,0.6766008138656616,1408323,1453,408,False,0.0003,1e-05,60,0.0001,384,4,0.07,1408323,1453,465,408,2326,2019,2023,5,0.752907629399872,0.7411655865267535,0.8853140131668102,0.2954587917674225,0.4204791904943787,0.8740305870336109,0.7246892050250551,0.6420123323766813,0.8015201494302614,0.2060668090118858,0.3437350181181792,0.8330427926599578,42,C_CT
CT-CCTL-EMIT,AUS,Cross_Time_Contrastive_Learning,0.7165427649588999,1.3587409551069412,0.6562127827611707,1.4925552703822489,ct_mlp_stack,1.0,0.7380182574890878,,0.7428549528121948,1424365,1339,419,False,0.0003,1e-05,60,0.0001,384,4,0.07,1424365,1339,462,419,2220,2019,2023,5,0.7748911013923562,0.7639027457621889,0.8782649687201298,0.4293996204050126,0.5799131597938283,0.8728849936798838,0.7688129191540132,0.7250649950532457,0.8307426985794696,0.2918608880583379,0.4742456824546689,0.846549513267289,42,C_CT
CT-CCTL-EMIT,FRA,Cross_Time_Contrastive_Learning,0.7048257722326801,1.317263021454538,0.6304168087874867,1.5752115374541458,ct_mlp_stack,1.0,0.7421508857665687,,0.7487513422966003,1450831,852,260,False,0.0003,1e-05,60,0.0001,384,4,0.07,1450831,852,285,260,1397,2019,2023,5,0.8348063311359986,0.7941141869773471,0.8986413852922656,0.2119256842762508,0.5915299320560956,0.897937113658123,0.7415467423028348,0.7422673557465029,0.8692348635662197,0.0166877862601144,0.5431664184571359,0.8695976863921133,42,C_CT
CT-CCTL-EMIT,CHE,Cross_Time_Contrastive_Learning,0.7316874094623537,1.223303956836118,0.6683893204851482,1.4267929383055105,ct_mlp_stack,1.0,0.7235221859198254,,0.7481664419174194,1464219,624,197,False,0.0003,1e-05,60,0.0001,384,4,0.07,1464219,624,210,197,1031,2019,2023,5,0.8272558048733148,0.7947116421878205,0.870064201294021,0.4002268646868758,0.6129839457132873,0.884881998018803,0.7577111503099456,0.7336172935904411,0.844479867849968,0.2178814016530924,0.6071413348603787,0.8495048746470639,42,C_CT
CT-CCTL-EMIT,IDN,Cross_Time_Contrastive_Learning,0.6650016682535597,1.324947148491579,0.5466348653656868,1.621142215185703,ct_mlp_stack,0.0,0.679501436820852,,0.6885885000228882,1459039,537,192,False,0.0003,1e-05,60,0.0001,384,4,0.07,1459039,537,213,192,942,2019,2023,5,0.7771534512683402,0.5877266857412091,0.9058549236092458,0.1731552199448885,0.6673589540550877,0.8787607749025867,0.6253235071129689,0.4542373111909585,0.8398375863135952,-0.1259416158675874,0.6791038755185498,0.8072485279256355,42,C_CT
CT-CCTL-EMIT,ITA,Cross_Time_Contrastive_Learning,0.7138875039355903,1.278621533953859,0.5258702491252799,1.8736411206739605,ct_mlp_stack,0.01,0.6601289458357665,,0.6426221132278442,1463457,416,126,False,0.0003,1e-05,60,0.0001,384,4,0.07,1463457,416,141,126,683,2019,2023,5,0.8536830155320657,0.8279361735080873,0.888371670311702,0.2545731543535838,0.5598844964600047,0.8988765134480979,0.7104423557384083,0.6394116060755284,0.7213367301251264,-0.0505584870317084,0.3448433533860825,0.7897459364582422,42,C_CT
CT-CCTL-EMIT,NLD,Cross_Time_Contrastive_Learning,0.6066342157044575,1.5812770311760234,0.4097567232956201,2.256408731527036,ct_mlp_stack,0.0,0.6074425852972326,,0.5558390617370605,1467236,270,84,False,0.0003,1e-05,60,0.0001,384,4,0.07,1467236,270,90,84,444,2019,2023,5,0.5572088499770574,0.4399852265936227,0.8547142259523501,0.278759761015631,0.6746616360163427,0.8344755946717413,0.3712841451155672,0.3693727323840953,0.7076326755414323,-0.0228974565455053,0.3541962349899781,0.678952008288153,42,C_CT
CT-CCTL-EMIT,BEL,Cross_Time_Contrastive_Learning,0.6216500052287683,1.660796751859836,0.0212872768197966,2.91132897451336,ct_mlp_stack,0.0,0.6294133639818043,,0.3269673585891723,1468803,204,54,False,0.0003,1e-05,60,0.0001,384,4,0.07,1468803,204,66,54,324,2019,2023,5,0.7855145051994938,0.7406709762613448,0.8132138088758959,0.5094470972927884,0.0408818550915953,0.8401717886514921,0.4224794582803314,-0.0654420304406147,0.2299323054373993,-0.031013184986117,0.0720167849322522,-0.5002496723044711,42,C_CT
CT-CCTL-EMIT,PAK,Cross_Time_Contrastive_Learning,0.6712890488877207,1.231057250565988,0.0638307277981702,2.4134981743188044,ct_mlp_stack,0.01,0.6516577328969,,0.4362893104553222,1463438,184,57,False,0.0003,1e-05,60,0.0001,384,4,0.07,1463438,184,62,57,303,2019,2023,5,0.8081642296474765,0.4002621109044602,0.7535312387011912,0.5380542606823288,0.7141947589423471,0.8135276944485198,0.4562977191416724,0.0074775833558441,0.5546735290704308,-0.2578875189111436,0.1172395902765239,-0.494816536144306,42,C_CT
CT-CCTL-EMIT,CHL,Cross_Time_Contrastive_Learning,0.6421686876679126,1.3411854543881123,-0.9182746650109972,3.202004737324185,ct_mlp_stack,1.0,0.6490571075396955,,0.0441066622734069,1467979,142,42,False,0.0003,1e-05,60,0.0001,384,4,0.07,1467979,142,48,42,232,2019,2023,5,0.9108871279260914,0.5828422453985168,0.8505823417266638,0.3381415926312564,0.2927354821512742,0.8778233361736737,0.1444992886711938,-1.1700150047319604,-0.9225616523568247,-0.2775593780720953,-0.511225966963466,-2.7727852766128294,42,C_CT
CT-CCTL-EMIT,CYM,Cross_Time_Contrastive_Learning,0.2998099475947681,1.6471964584605363,-5.342479650926191,5.018003880314959,ct_mlp_stack,0.01,0.3773653855853196,,-1.5376009941101074,1472113,87,26,False,0.0003,1e-05,60,0.0001,384,4,0.07,1472113,87,32,26,145,2019,2023,5,0.42024324885041,0.35592863136009,0.4383600562615707,-0.1288412437592134,0.5028856003856608,0.2102833924700909,-1.071811513812737,-5.297919382532921,-8.138576528396841,-0.7570082421493554,-0.4417921162943374,-16.34777012237096,42,C_CT
CT-CCTL-EMIT,VNM,Cross_Time_Contrastive_Learning,0.6263537532899304,1.312327043109769,-12.027578584826449,6.684197515249252,ct_mlp_stack,0.01,0.5869165864254701,,-3.649185180664064,1464542,69,22,False,0.0003,1e-05,60,0.0001,384,4,0.07,1464542,69,22,22,113,2019,2023,5,0.7236323986563038,0.8181179659139031,0.8611197951203617,0.0774182256704755,0.503235133505247,0.7745990008732917,-1.96027845388764,-11.21863339507215,-22.797189240155763,-1.8636429009280648,-1.8617266417881653,-32.46400087712691,42,C_CT
CT-CCTL-EMIT,TWN,Cross_Time_Contrastive_Learning,0.6875627439391984,1.0259476066203066,0.6434132928204979,1.1078608390378497,ct_mlp_stack,1.0,0.6842352740984312,,0.752580463886261,1433077,2521,842,False,0.0003,1e-05,60,0.0001,384,4,0.07,1433077,2521,952,842,4315,2019,2023,5,0.7044599002655849,0.7971526857756546,0.9110267714428136,0.2294180939577804,0.5767627141519625,0.9065562980413936,0.6688815592808186,0.7370113976638182,0.8554287001511409,0.183924491520718,0.5398476201377145,0.8753859881687772,42,C_CT
