country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,finetune_samples,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
CHE,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.7699201107025146,1.0493228832880657,1.5932092082086025,58065,1031,0.8758642673492432,0.8487547636032104,0.9008923768997192,0.4238854646682739,0.6442763805389404,0.9258474111557007
BEL,C,Transfer_Learning,0.8243552049001058,1.0505357533693314,1.5203278882078175,84899,324,0.8787167072296143,0.8403713703155518,0.9266024231910706,0.8736010789871216,0.4786118268966675,0.9482278227806091
BEL,C_dev,Transfer_Learning_Developed,0.8196841478347778,1.0840171426534653,1.5435479916161194,58772,324,0.8748167157173157,0.826533317565918,0.9190329313278198,0.8596634268760681,0.4912428855895996,0.9468156099319458
BEL,Transfer_Learning_FTT,Transfer_Learning_FTT,0.7028208871682485,1.3824313978354137,2.004820047074143,84899,324,0.7669223546981812,0.7735855579376221,0.903667151927948,0.6089898347854614,0.25994306802749634,0.903817355632782
BEL,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.6779970626036326,1.5124717056751251,2.0782674216170656,58772,324,0.826509952545166,0.7274739742279053,0.897596538066864,0.5932180881500244,0.11338204145431519,0.9098017811775208
BEL,D_full,Transfer_Learning_FTT_Full,0.6916055381298065,1.412476936976115,2.0354938845086603,84899,324,0.8064208030700684,0.7773202657699585,0.9171483516693115,0.5521136522293091,0.17251592874526978,0.9241142272949219
BEL,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.7309852242469788,1.2907330791155498,1.8975076733397476,58772,324,0.844802737236023,0.8150875568389893,0.9222362041473389,0.6911867260932922,0.18601930141448975,0.9265788197517395
GRC,C,Transfer_Learning,0.8572171727816263,0.856355811158816,1.2167030546151305,85024,199,0.9255186319351196,0.7125959396362305,0.9182780385017395,0.8064006567001343,0.8380355834960938,0.9424741864204407
GRC,C_dev,Transfer_Learning_Developed,0.8416872521241506,0.8807032803694407,1.2904435423747553,58897,199,0.8776988983154297,0.7499285936355591,0.8698900938034058,0.816594123840332,0.8436019420623779,0.8924098610877991
GRC,Transfer_Learning_FTT,Transfer_Learning_FTT,0.6523655454317728,1.3786178181568782,1.9750756153453366,85024,199,0.8725542426109314,0.5714554786682129,0.9132032990455627,0.39641064405441284,0.3064565062522888,0.8541131019592285
GRC,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.6665434738000234,1.3328365981578827,1.9341120744314502,58897,199,0.8713953495025635,0.5686730742454529,0.8827102780342102,0.48961883783340454,0.3345068693161011,0.8523564338684082
GRC,D_full,Transfer_Learning_FTT_Full,0.6942431231339773,1.2552115420500438,1.8096292687020987,85024,199,0.9399124383926392,0.5512434244155884,0.8895916938781738,0.528361439704895,0.3294042944908142,0.9269454479217529
GRC,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.6961730718612671,1.2683144112428029,1.8270058930250574,58897,199,0.8844690322875977,0.5340694189071655,0.8964826464653015,0.630818247795105,0.3666117191314697,0.8645873665809631
PRT,C,Transfer_Learning,0.8340783913930258,1.115797519683838,1.4159952907315432,85143,80,0.8715498447418213,0.7878542542457581,0.9082528352737427,0.7556983828544617,0.7754786014556885,0.9056364297866821
PRT,C_dev,Transfer_Learning_Developed,0.8871273001035055,0.8535827795664469,1.165982813729025,59016,80,0.9102843403816223,0.8855787515640259,0.9341811537742615,0.7864819765090942,0.8570175170898438,0.9492200613021851
PRT,Transfer_Learning_FTT,Transfer_Learning_FTT,0.8417373796304067,0.9182331363360087,1.291512291385735,85143,80,0.8830459713935852,0.8137354254722595,0.8804726600646973,0.6681991219520569,0.8982991576194763,0.906671941280365
PRT,Transfer_Learning_FTT_Developed,Transfer_Learning_FTT_Developed,0.7774721086025238,1.1911359429359436,1.5992672584073768,59016,80,0.8445845246315002,0.7427399158477783,0.8036930561065674,0.6818497776985168,0.7628520727157593,0.8291133046150208
PRT,D_full,Transfer_Learning_FTT_Full,0.8990867535273234,0.701624463001887,1.1112558112155255,85143,80,0.9050986766815186,0.89235520362854,0.9036479592323303,0.9311810731887817,0.829938530921936,0.9322990775108337
PRT,D_full_dev,Transfer_Learning_FTT_Full_Developed,0.8647149602572123,0.8756889800230662,1.2254033207334263,59016,80,0.8871639370918274,0.8606582880020142,0.8928367495536804,0.7483465671539307,0.8909903764724731,0.9082938432693481
CYM,C,Transfer_Learning,0.693720281124115,1.1439483265082042,1.4571822410217585,85078,145,0.5860637426376343,0.5951534509658813,0.8470632433891296,0.5316857099533081,0.8016859889030457,0.8006695508956909
