country,experiment_type,experiment_type_full,R2_Average,MAE_Average,RMSE_Average,training_samples,valid_training_samples,data_efficiency,log_Scope1,log_Scope2,log_Scope3_upstream,log_Scope3_downLA,log_Scope3_prod,log_Scope_total
ARE,B,Global_Baseline,0.6316398791026264,1.4681846032588222,1.9097033212743817,84987,0,0.0,0.7079707882767354,0.547509633189852,0.6880460783273501,0.4767245600329172,0.6902539884036605,0.6793342263852438
ARE,B_dev,Developed_Baseline,0.6614764842104105,1.3908806763698178,1.8458008195363227,58860,0,0.0,0.7324732335221188,0.5749557148893634,0.751690130956893,0.4526630845955064,0.6891503244815689,0.7679264168170129
ITA,A,Country_Self_Modeling,0.8384568537845271,0.8657974152040904,1.2477954276137957,2067,477,0.23076923076923078,0.9355639439506458,0.9322092370143434,0.9775008993143697,0.5039396906421232,0.6995869411544545,0.9819404106312262
ITA,B,Global_Baseline,0.6224747331205788,1.5249438843575789,1.979194029332347,84540,0,0.0,0.8080720774449681,0.7039400305946486,0.7742757380959627,0.10656813805788179,0.4884452962700925,0.853547118259919
ITA,B_dev,Developed_Baseline,0.6933347683228663,1.344599042087107,1.787816238959927,58413,0,0.0,0.8340943647429488,0.7822349228456877,0.9194950671453275,0.20384073469552788,0.4975201868361525,0.9228233336715538
DEU,A,Country_Self_Modeling,0.8942693800293472,0.7396014028863958,1.1119107780664879,3676,943,0.25652883569096846,0.929787236038284,0.9318011885354797,0.9785467526941037,0.7767891581975241,0.7676694263678884,0.981022518342804
DEU,B,Global_Baseline,0.7193345276183224,1.3602366965797839,1.862194362505276,83874,0,0.0,0.7872378201210068,0.7924712499272579,0.9082876064630413,0.39602873001115824,0.5146869734615099,0.9172947857259608
DEU,B_dev,Developed_Baseline,0.7460257367974453,1.2514452902247382,1.7457019054858929,57747,0,0.0,0.8039386647106976,0.8019379524190451,0.9414102181366965,0.39445386683503714,0.5917234518726159,0.9426902668105805
HKG,A,Country_Self_Modeling,0.8771622031436305,0.8161155392639255,1.1799090112430035,6089,1874,0.30776810642141567,0.8706509762661525,0.90016113789521,0.9454761982044468,0.7798434214467109,0.8183564110902466,0.9484850739590152
HKG,B,Global_Baseline,0.724401776797115,1.3583636638069585,1.8346089987842393,82545,0,0.0,0.6430499623567846,0.7321077799795352,0.8642753593193878,0.6213713109870882,0.637953367708137,0.847652880431758
HKG,B_dev,Developed_Baseline,0.665073864095396,1.5502498585445343,2.01965029836135,56418,0,0.0,0.6126323284456449,0.6992284604843311,0.766542416051831,0.5392291039775599,0.5978079814438708,0.7750028941691389
CHE,A,Country_Self_Modeling,0.8620741729689861,0.8363862064225436,1.2305823448661688,3051,721,0.2363159619796788,0.913616706215234,0.8989249282053062,0.9757938439205721,0.6479186726868318,0.7578438074611568,0.9783470793248159
CHE,B,Global_Baseline,0.7149358446796025,1.2866360846140896,1.7752829787748918,84192,0,0.0,0.7862709150349563,0.7875263506155401,0.9216253975013539,0.3147284094154015,0.5444452396903775,0.9350187558199854
CHE,B_dev,Developed_Baseline,0.7325099835556346,1.2248194772488892,1.712902354572061,58065,0,0.0,0.8017316614706658,0.8141840019062407,0.9335317429512858,0.3312717935205648,0.5766902833141008,0.9376504181709495
SGP,A,Country_Self_Modeling,0.8102381778806887,0.9705793987803957,1.3671931557905739,2012,571,0.2837972166998012,0.8047135284902882,0.7838311423285034,0.9616675531766014,0.6534543420264853,0.7388567907863832,0.918905710475871
SGP,B,Global_Baseline,0.5856369838269698,1.5293672897862745,1.9704718082728856,84406,0,0.0,0.5195232695336964,0.39173239873676313,0.7598561040173438,0.6425049532554403,0.6160439633285177,0.5841612140900575
SGP,B_dev,Developed_Baseline,0.5790234987070725,1.548822234384834,1.9935034047994957,58279,0,0.0,0.5197795153787809,0.3734978346698815,0.7407706956861315,0.6067244478066725,0.6108070391742558,0.6225614595267128
ZAF,A,Country_Self_Modeling,0.8241072460039544,0.9162457992379612,1.3561452596778338,2410,499,0.2070539419087137,0.9183816956256092,0.935300094971335,0.9567106432662277,0.4589825940858956,0.7236389334358929,0.9516295146387667
ZAF,B,Global_Baseline,0.6189116456006544,1.5219830414106752,2.051117814956371,84510,0,0.0,0.7162453550944706,0.6387471002076726,0.789375926462137,0.28619529751484796,0.5138404610651621,0.7690657332596357
ZAF,B_dev,Developed_Baseline,0.5390037108878608,1.6887902922095523,2.210917947682193,59096,0,0.0,0.6918714293797791,0.6703421723261668,0.45387211167775054,0.3144520965861629,0.48542961816937535,0.61805483718793
