country,labeled_samples,R2_Average_C,R2_log_Scope1_C,R2_log_Scope2_C,R2_log_Scope3_upstream_C,R2_log_Scope3_downLA_C,R2_log_Scope3_prod_C,R2_log_Scope_total_C,R2_Average_CT,R2_log_Scope1_CT,R2_log_Scope2_CT,R2_log_Scope3_upstream_CT,R2_log_Scope3_downLA_CT,R2_log_Scope3_prod_CT,R2_log_Scope_total_CT
NOR,486,0.840061237414678,0.8541366457939148,0.7482054233551025,0.9167963862419128,0.8055390119552612,0.7962498664855957,0.9194400906562804,0.625401326616353,0.7445386308357517,0.5533753725905186,0.7684905167426059,0.4356284525900221,0.4664620884070124,0.7839128985322067
NLD,444,0.820052037636439,0.7828565835952759,0.6973262429237366,0.9303828477859496,0.6879352331161499,0.8757199645042419,0.94609135389328,0.6066342157044575,0.5572088499770574,0.4399852265936227,0.8547142259523501,0.6746616360163427,0.278759761015631,0.8344755946717413
ESP,437,0.8066438734531403,0.856723964214325,0.8292968273162842,0.8024439811706543,0.7412368059158325,0.7343368530273438,0.8758248090744019,0.6534142967998555,0.6856589329988478,0.7523154183796138,0.7564351910751983,0.6421183244111281,0.2753868953331091,0.8085710186012358
MEX,413,0.8468525409698486,0.8635481595993042,0.7976105809211731,0.9678771495819092,0.8056355714797974,0.7416753172874451,0.9047684669494628,0.6056606929115952,0.7599527136577913,0.6385128120206975,0.8048008872630974,0.2757318105612194,0.3782254853128806,0.7767404486538855
PHL,398,0.8451452155907949,0.8169696927070618,0.874721348285675,0.9346163868904114,0.6812893152236938,0.8645331859588623,0.8987413644790649,0.5929782126450452,0.6099324684199503,0.6699232362401373,0.7474936565817132,0.4505822439865654,0.4089005777627549,0.6710370928791503
POL,352,0.8484786152839661,0.874366283416748,0.8794134855270386,0.9525099992752076,0.7173447608947754,0.719711422920227,0.9475257396697998,0.476007466323147,0.595000646654639,0.4572750721072642,0.5712127178771106,0.330481562331426,0.3402560802667425,0.5618187187016999
FIN,346,0.8594311475753784,0.8565552830696106,0.8905245661735535,0.9446897506713868,0.6793862581253052,0.8314552307128906,0.953975796699524,0.7268059072120732,0.7635756773953274,0.8151323226239597,0.8430046358367533,0.6210521947831034,0.4492688805730169,0.8688017320602787
BEL,324,0.8243552049001058,0.8787167072296143,0.8403713703155518,0.9266024231910706,0.8736010789871216,0.4786118268966675,0.9482278227806092,0.6216500052287683,0.7855145051994938,0.7406709762613448,0.8132138088758959,0.0408818550915953,0.5094470972927884,0.8401717886514921
NZL,307,0.701787918806076,0.5473282337188721,0.3789255619049072,0.8827264904975891,0.7324243783950806,0.8311668634414673,0.83815598487854,0.4438441823605192,0.3723312911322263,0.1824210971033891,0.7650284922349502,0.4201530894791289,0.2610969880526858,0.6620341361607349
PAK,303,0.8466947575410207,0.8666554689407349,0.7160625457763672,0.8445380330085754,0.8724627494812012,0.9027084112167358,0.8777413368225098,0.6712890488877207,0.8081642296474765,0.4002621109044602,0.7535312387011912,0.7141947589423471,0.5380542606823288,0.8135276944485198
DNK,291,0.8665242989857992,0.9210869073867798,0.8668412566184998,0.9228332042694092,0.7569182515144348,0.7869772911071777,0.9444888830184937,0.6045345349180672,0.7522854680806886,0.6698552927506445,0.6785817773739977,0.4008340078779977,0.4109906676583761,0.7146599957666981
